Patient	Xa	Ya	Xb	Yb	Distance	cluster2	cluster3
Sample91	0.0566792660074458	0.232893490220821	0.0554612782528238	0.235338361976893	0.00273146335762429	2	1
Sample7	0.0626423147346883	0.234192740945843	0.0577877859188207	0.235736390460755	0.00509404592136516	2	1
Sample93	0.28473785338109	-0.0345659488451526	0.292658871703192	-0.0348897955935788	0.00792763571158214	2	1
Sample95	0.197711811209382	0.0170482980076312	0.187651826119429	0.0241365893067758	0.0123063875102165	2	1
Sample5	-0.128967032837622	0.0934822282883519	-0.115683749815102	0.0914669043970681	0.013435294497819	2	1
Sample19	-0.276118341956818	0.176134158620771	-0.263629594048301	0.165421709141371	0.0164537350826851	2	1
Sample36	0.197065713419315	0.0121469671207889	0.205311885123471	-0.0044638469676121	0.0185450395646339	2	1
Sample90	-0.418392797088378	0.237932485394432	-0.429136413495256	0.221906798822585	0.0192937275713429	2	1
Sample63	0.188184808930533	-0.037084778938034	0.207476074245263	-0.0355172065151146	0.0193548495407322	2	1
Sample98	0.104040542999141	-0.116856621018367	0.0829592842691594	-0.119895954989182	0.0212992258222354	2	1
Sample84	0.23142273817564	0.00694060347229129	0.245202229050581	-0.0130599924467951	0.0242878201140233	2	1
Sample80	-0.255554061385724	-0.464751925448098	-0.270361664524443	-0.441409033094732	0.0276433669102482	2	1
Sample26	-0.308746116434074	-0.425574001420136	-0.335789164120711	-0.436186269651567	0.0290507601483601	2	1
Sample6	-0.0555196088570247	-0.29922869658105	-0.0531987901614724	-0.264811541855163	0.0344953147375594	2	1
Sample10	-0.219971259668326	0.04516738608601	-0.200049803564188	0.0746722256383108	0.035600561376418	2	1
Sample40	-0.0107620549179825	0.00473944228910782	-0.0599360367119879	-0.00887265746095602	0.0510232275055476	2	1
Sample73	0.201158180742356	-0.0345753513215845	0.247095716796556	-0.0587999843860322	0.0519335158239657	2	1
Sample3	-0.0497399844522261	-0.0447343143290748	-0.047976750086127	-0.101224544734352	0.0565177416982587	2	1
Sample23	-0.110492002013395	0.032708754252701	-0.0538367503746151	0.0144961648606979	0.0595106372896073	2	1
Sample56	0.131188209734747	0.034409227837882	0.172655142202389	-0.0145071587789072	0.0641273683221066	2	1
Sample82	0.330932904881507	-0.0305881828587855	0.274265625158395	0.0165579660358381	0.0737152626449325	2	1
Sample77	0.143037822247417	0.114932318680236	0.200359982576973	0.0616801675261139	0.0782407928601744	2	2
Sample25	-0.225913209977538	0.20845651596791	-0.241825265255815	0.12621598199516	0.0837657384095789	2	2
Sample34	-0.37483637972916	0.204161271832773	-0.308835281543842	0.144824811051238	0.0887522424491148	2	2
Sample83	0.32384005473554	-0.040055569585509	0.241321079924747	-0.00162672438969328	0.0910283326602679	2	2
Sample27	0.0436201022683964	0.0270712923663972	-0.0531637750868716	0.0383654682608517	0.0974406348760846	2	2
Sample96	0.312757636318355	0.0213684297889234	0.259095337382594	0.115721609594453	0.108545681012584	2	2
Sample81	0.201507448020477	0.102464279310509	0.22000344020132	-0.0174156108170857	0.121298350292813	2	2
Sample38	0.108959772899704	0.00931535144568868	-0.0505088342454702	-0.0241310512756028	0.162938327350617	2	2
Sample78	0.148176919031033	-0.163224889998457	0.29485868589186	-0.0588619581643446	0.180019894096252	1	2
Sample69	-0.197769256744269	-0.0292127472060054	-0.00368480012269057	-0.0829543817132089	0.201387535814904	1	2
Sample50	-0.197964164816411	0.238496276184301	-0.0335488408638391	0.0251956076227708	0.269313152221025	1	3
Sample20	-0.0947695193734375	-0.0144128829408562	-0.319544286752273	0.2300565151876	0.332097851049204	1	3
Sample1	-0.332956697470562	-0.463570837626645	-0.0646055355205957	-0.189700470842572	0.383428381738154	1	3
Sample60	-0.0165001979569024	-0.00595455568845955	-0.331540322580886	0.236864697490859	0.397758054396963	1	3
